,k,network_n,search_n,jumps
1032,4,0,32,2
1033,4,0,33,0
1034,4,0,34,2
1035,4,0,35,2
1036,4,0,36,2
1037,4,0,37,2
1038,4,0,38,1
1039,4,0,39,0
1040,4,0,40,2
1041,4,0,41,2
1042,4,0,42,1
1043,4,0,43,1
1044,4,0,44,3
1045,4,0,45,2
1046,4,0,46,1
1047,4,0,47,3
1048,4,0,48,1
1049,4,0,49,3
1050,4,0,50,0
1051,4,0,51,1
1052,4,0,52,3
1053,4,0,53,0
1054,4,0,54,3
1055,4,0,55,1
1056,4,0,56,2
1057,4,0,57,3
1058,4,0,58,3
1059,4,0,59,2
1060,4,0,60,2
1061,4,0,61,3
1062,4,0,62,3
1063,4,0,63,2
1064,4,0,64,1
1065,4,0,65,1
1066,4,0,66,2
1067,4,0,67,2
1068,4,0,68,2
1069,4,0,69,0
1070,4,0,70,2
1071,4,0,71,3
1072,4,0,72,1
1073,4,0,73,2
1074,4,0,74,2
1075,4,0,75,1
1076,4,0,76,1
1077,4,0,77,2
1078,4,0,78,1
1079,4,0,79,0
1080,4,0,80,0
1081,4,0,81,2
1082,4,0,82,2
1083,4,0,83,0
1084,4,0,84,2
1085,4,0,85,1
1086,4,0,86,1
1087,4,0,87,3
1088,4,0,88,2
1089,4,0,89,2
1090,4,0,90,0
1091,4,0,91,1
1092,4,0,92,2
1093,4,0,93,1
1094,4,0,94,0
1095,4,0,95,2
1096,4,0,96,2
1097,4,0,97,2
1098,4,0,98,1
1099,4,0,99,2
1100,4,1,0,3
1101,4,1,1,2
1102,4,1,2,0
1103,4,1,3,1
1104,4,1,4,2
1105,4,1,5,2
1106,4,1,6,2
1107,4,1,7,3
1108,4,1,8,2
1109,4,1,9,3
1110,4,1,10,2
1111,4,1,11,2
1112,4,1,12,2
1113,4,1,13,1
1114,4,1,14,2
1115,4,1,15,0
1116,4,1,16,1
1117,4,1,17,2
1118,4,1,18,1
1119,4,1,19,0
1120,4,1,20,0
1121,4,1,21,3
1122,4,1,22,3
