,k,network_n,search_n,jumps
1128,4,1,28,3
1129,4,1,29,3
1130,4,1,30,2
1131,4,1,31,0
1132,4,1,32,0
1133,4,1,33,3
1134,4,1,34,3
1135,4,1,35,2
1136,4,1,36,2
1137,4,1,37,4
1138,4,1,38,4
1139,4,1,39,4
1140,4,1,40,2
1141,4,1,41,4
1142,4,1,42,2
1143,4,1,43,2
1144,4,1,44,1
1145,4,1,45,2
1146,4,1,46,3
1147,4,1,47,2
1148,4,1,48,2
1149,4,1,49,3
1150,4,1,50,2
1151,4,1,51,3
1152,4,1,52,3
1153,4,1,53,2
1154,4,1,54,3
1155,4,1,55,1
1156,4,1,56,4
1157,4,1,57,3
1158,4,1,58,4
1159,4,1,59,2
1160,4,1,60,3
1161,4,1,61,0
1162,4,1,62,3
1163,4,1,63,1
1164,4,1,64,1
1165,4,1,65,2
1166,4,1,66,4
1167,4,1,67,4
1168,4,1,68,3
1169,4,1,69,0
1170,4,1,70,4
1171,4,1,71,3
1172,4,1,72,3
1173,4,1,73,4
1174,4,1,74,4
1175,4,1,75,3
1176,4,1,76,0
1177,4,1,77,2
1178,4,1,78,3
1179,4,1,79,3
1180,4,1,80,2
1181,4,1,81,3
1182,4,1,82,2
1183,4,1,83,2
1184,4,1,84,2
1185,4,1,85,3
1186,4,1,86,2
1187,4,1,87,3
1188,4,1,88,2
1189,4,1,89,2
1190,4,1,90,2
1191,4,1,91,4
1192,4,1,92,4
1193,4,1,93,3
1194,4,1,94,1
1195,4,1,95,4
1196,4,1,96,3
1197,4,1,97,3
1198,4,1,98,3
1199,4,1,99,2
1200,4,2,0,4
1201,4,2,1,3
1202,4,2,2,3
1203,4,2,3,0
1204,4,2,4,3
1205,4,2,5,1
1206,4,2,6,1
1207,4,2,7,2
1208,4,2,8,0
1209,4,2,9,4
1210,4,2,10,3
1211,4,2,11,3
1212,4,2,12,2
1213,4,2,13,1
1214,4,2,14,4
1215,4,2,15,2
1216,4,2,16,2
1217,4,2,17,3
1218,4,2,18,3
1219,4,2,19,2
1220,4,2,20,4
1221,4,2,21,4
1222,4,2,22,4
1223,4,2,23,2
1224,4,2,24,3
1225,4,2,25,1
1226,4,2,26,0
1227,4,2,27,3
1228,4,2,28,3
1229,4,2,29,1
1230,4,2,30,2
1231,4,2,31,2
1232,4,2,32,3
1233,4,2,33,2
1234,4,2,34,3
1235,4,2,35,4
1236,4,2,36,2
1237,4,2,37,2
1238,4,2,38,3
1239,4,2,39,3
1240,4,2,40,4
1241,4,2,41,3
1242,4,2,42,4
1243,4,2,43,2
1244,4,2,44,0
1245,4,2,45,4
1246,4,2,46,3
1247,4,2,47,3
1248,4,2,48,3
1249,4,2,49,2
1250,4,2,50,3
1251,4,2,51,3
