,k,network_n,search_n,jumps
1069,4,0,69,1
1070,4,0,70,3
1071,4,0,71,1
1072,4,0,72,3
1073,4,0,73,2
1074,4,0,74,2
1075,4,0,75,2
1076,4,0,76,1
1077,4,0,77,3
1078,4,0,78,2
1079,4,0,79,2
1080,4,0,80,2
1081,4,0,81,1
1082,4,0,82,1
1083,4,0,83,3
1084,4,0,84,3
1085,4,0,85,0
1086,4,0,86,0
1087,4,0,87,1
1088,4,0,88,0
1089,4,0,89,2
1090,4,0,90,0
1091,4,0,91,3
1092,4,0,92,2
1093,4,0,93,2
1094,4,0,94,2
1095,4,0,95,2
1096,4,0,96,2
1097,4,0,97,3
1098,4,0,98,2
1099,4,0,99,2
1100,4,1,0,2
1101,4,1,1,3
1102,4,1,2,2
1103,4,1,3,3
1104,4,1,4,1
1105,4,1,5,2
1106,4,1,6,3
1107,4,1,7,2
1108,4,1,8,1
1109,4,1,9,2
1110,4,1,10,2
1111,4,1,11,2
1112,4,1,12,0
1113,4,1,13,2
1114,4,1,14,0
1115,4,1,15,2
1116,4,1,16,2
1117,4,1,17,2
1118,4,1,18,3
1119,4,1,19,2
1120,4,1,20,0
1121,4,1,21,0
1122,4,1,22,2
1123,4,1,23,2
1124,4,1,24,3
1125,4,1,25,3
1126,4,1,26,3
1127,4,1,27,0
1128,4,1,28,1
1129,4,1,29,2
1130,4,1,30,0
1131,4,1,31,1
1132,4,1,32,2
1133,4,1,33,2
1134,4,1,34,3
1135,4,1,35,1
1136,4,1,36,2
1137,4,1,37,2
1138,4,1,38,1
1139,4,1,39,3
1140,4,1,40,1
1141,4,1,41,0
1142,4,1,42,2
1143,4,1,43,1
1144,4,1,44,1
1145,4,1,45,2
1146,4,1,46,3
1147,4,1,47,0
1148,4,1,48,1
1149,4,1,49,3
1150,4,1,50,0
1151,4,1,51,2
1152,4,1,52,3
1153,4,1,53,0
1154,4,1,54,2
1155,4,1,55,3
1156,4,1,56,2
1157,4,1,57,1
1158,4,1,58,1
1159,4,1,59,3
1160,4,1,60,1
1161,4,1,61,3
1162,4,1,62,3
1163,4,1,63,1
1164,4,1,64,2
1165,4,1,65,0
1166,4,1,66,0
1167,4,1,67,2
1168,4,1,68,2
1169,4,1,69,2
1170,4,1,70,2
1171,4,1,71,2
1172,4,1,72,3
1173,4,1,73,2
1174,4,1,74,1
1175,4,1,75,3
1176,4,1,76,2
1177,4,1,77,0
1178,4,1,78,2
1179,4,1,79,3
1180,4,1,80,3
1181,4,1,81,1
1182,4,1,82,0
1183,4,1,83,2
1184,4,1,84,0
1185,4,1,85,2
1186,4,1,86,1
1187,4,1,87,3
1188,4,1,88,1
1189,4,1,89,2
1190,4,1,90,3
1191,4,1,91,3
1192,4,1,92,3
1193,4,1,93,2
1194,4,1,94,1
1195,4,1,95,2
1196,4,1,96,3
1197,4,1,97,3
1198,4,1,98,1
1199,4,1,99,2
1200,4,2,0,2
1201,4,2,1,2
1202,4,2,2,2
1203,4,2,3,2
1204,4,2,4,3
1205,4,2,5,1
1206,4,2,6,2
1207,4,2,7,3
1208,4,2,8,3
1209,4,2,9,3
1210,4,2,10,2
1211,4,2,11,0
1212,4,2,12,3
1213,4,2,13,3
1214,4,2,14,1
1215,4,2,15,2
1216,4,2,16,2
1217,4,2,17,1
1218,4,2,18,2
1219,4,2,19,3
1220,4,2,20,2
1221,4,2,21,3
1222,4,2,22,2
1223,4,2,23,3
1224,4,2,24,2
1225,4,2,25,3
1226,4,2,26,3
1227,4,2,27,1
1228,4,2,28,3
1229,4,2,29,2
1230,4,2,30,0
1231,4,2,31,2
1232,4,2,32,1
1233,4,2,33,2
1234,4,2,34,2
1235,4,2,35,2
1236,4,2,36,1
1237,4,2,37,2
1238,4,2,38,2
1239,4,2,39,2
1240,4,2,40,2
1241,4,2,41,2
1242,4,2,42,2
1243,4,2,43,2
1244,4,2,44,2
1245,4,2,45,2
1246,4,2,46,2
1247,4,2,47,0
1248,4,2,48,3
1249,4,2,49,3
1250,4,2,50,0
1251,4,2,51,2
1252,4,2,52,2
1253,4,2,53,2
1254,4,2,54,2
1255,4,2,55,2
1256,4,2,56,2
1257,4,2,57,2
1258,4,2,58,2
1259,4,2,59,0
1260,4,2,60,2
1261,4,2,61,3
1262,4,2,62,3
1263,4,2,63,2
1264,4,2,64,0
1265,4,2,65,3
1266,4,2,66,1
1267,4,2,67,2
1268,4,2,68,0
1269,4,2,69,2
1270,4,2,70,0
1271,4,2,71,2
1272,4,2,72,2
1273,4,2,73,2
1274,4,2,74,1
1275,4,2,75,2
1276,4,2,76,1
1277,4,2,77,2
1278,4,2,78,0
1279,4,2,79,0
1280,4,2,80,2
1281,4,2,81,2
1282,4,2,82,2
1283,4,2,83,2
1284,4,2,84,1
1285,4,2,85,0
1286,4,2,86,3
1287,4,2,87,1
1288,4,2,88,0
1289,4,2,89,2
1290,4,2,90,2
1291,4,2,91,3
1292,4,2,92,0
1293,4,2,93,2
1294,4,2,94,1
1295,4,2,95,2
1296,4,2,96,3
1297,4,2,97,1
1298,4,2,98,1
1299,4,2,99,0
1300,4,3,0,2
1301,4,3,1,2
1302,4,3,2,3
1303,4,3,3,3
1304,4,3,4,1
1305,4,3,5,2
1306,4,3,6,1
1307,4,3,7,2
1308,4,3,8,2
1309,4,3,9,3
1310,4,3,10,2
1311,4,3,11,2
1312,4,3,12,3
1313,4,3,13,0
1314,4,3,14,2
1315,4,3,15,1
1316,4,3,16,2
1317,4,3,17,1
1318,4,3,18,1
1319,4,3,19,2
1320,4,3,20,0
1321,4,3,21,0
1322,4,3,22,0
1323,4,3,23,3
1324,4,3,24,2
1325,4,3,25,0
1326,4,3,26,0
1327,4,3,27,0
1328,4,3,28,2
1329,4,3,29,1
1330,4,3,30,2
1331,4,3,31,2
1332,4,3,32,2
1333,4,3,33,3
1334,4,3,34,1
1335,4,3,35,3
1336,4,3,36,2
1337,4,3,37,0
1338,4,3,38,3
1339,4,3,39,3
1340,4,3,40,1
1341,4,3,41,2
1342,4,3,42,2
1343,4,3,43,2
1344,4,3,44,2
1345,4,3,45,2
1346,4,3,46,2
1347,4,3,47,2
1348,4,3,48,0
1349,4,3,49,2
1350,4,3,50,3
1351,4,3,51,2
1352,4,3,52,2
1353,4,3,53,2
1354,4,3,54,0
1355,4,3,55,1
1356,4,3,56,2
1357,4,3,57,3
